Nome,Cognome,Email,CodiceFiscale
Mario,Rossi,QNNSSN83L01G054Z,mario@rossi.it
Francesco,Verdi,ZZRMMG79A03C347A,francesco@versi.it
Giuseppe,Azzurri,TBCSFT87L69B997T,giuseppe@azzurri.it
Marta,Marroni,TSSFQS72C27I025K,marta@marroni.it
Greta,Winston,VMKTTZ68A24C303D,greta@winston.it
Chiara,Fiumi,MTICJR78P05C263B,chiari@fiumi.it
Alessandro,Falconi,LBMDPB69P20F052Y,alessandro@falconi.it
Paolo,Nixon,XNZCBT37D03B462B,paolo@nixon.it
Filippo,Rimani,VTMFLZ95E60C888P,filippo@rimani.it
Ambrogio,Castellano,FLFZFC32B04F003E,ambrogio@castellano.it

